instance,2007_INDU-minisat-sat07,2007_INDU-mxc,2007_INDU-picosat-535
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/transport-transport-two-cities-sequential-15nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.020-NOTKNOWN.cnf,SAT:3967.15:3967.15:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/transport-transport-two-cities-sequential-15nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.030-NOTKNOWN.cnf,SAT:2390.88:2390.88:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:3513.34:3513.34:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2002/01_rule/SAT_dat.k90.cnf,SAT:305.95:305.95:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:70.9282:70.9282:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2002/06_rule/SAT_dat.k100.cnf,SAT:119.889:119.889:5000.0:0,SAT:399.472:399.472:5000.0:0,SAT:63.0734:63.0734:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2002/07_rule/SAT_dat.k65.cnf,SAT:2.43463:2.43463:5000.0:0,SAT:13.236:13.236:5000.0:0,SAT:2.70759:2.70759:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2002/07_rule/SAT_dat.k75.cnf,SAT:2.08168:2.08168:5000.0:0,SAT:4.39433:4.39433:5000.0:0,SAT:2.12768:2.12768:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2002/11_rule_1/SAT_dat.k80.cnf,SAT:1667.79:1667.79:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:529.673:529.673:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2002/11_rule_1/SAT_dat.k85.cnf,SAT:1819.91:1819.91:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:613.009:613.009:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2002/11_rule_1/SAT_dat.k90.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1542.13:1542.13:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2002/11_rule_1/SAT_dat.k95.cnf,SAT:3136.41:3136.41:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:3003.0:3003.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2002/11_rule_3/SAT_dat.k100.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2002/11_rule_3/SAT_dat.k95.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2002/13_rule_1/SAT_dat.k10.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
