instance,2009_INDU-clasp-1.2.0-SAT09,2009_INDU-kw,2009_INDU-manysat,2009_INDU-minisat,2009_INDU-minisat-cumrp,2009_INDU-minisat09z,2009_INDU-precosat-236-3e7a3f8-090322
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.140-NOTKNOWN.cnf,SAT:126.023:126.023:5000.0:0,SAT:1073.85:1073.85:5000.0:0,SAT:102.764:102.764:5000.0:0,SAT:47.5578:47.5578:5000.0:0,SAT:317.792:317.792:5000.0:0,SAT:195.509:195.509:5000.0:0,SAT:188.65:188.65:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.150-NOTKNOWN.cnf,SAT:195.055:195.055:5000.0:0,SAT:670.67:670.67:5000.0:0,SAT:310.558:310.558:5000.0:0,SAT:12.901:12.901:5000.0:0,SAT:200.388:200.388:5000.0:0,SAT:278.116:278.116:5000.0:0,SAT:202.773:202.773:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.140-NOTKNOWN.cnf,SAT:134.851:134.851:5000.0:0,SAT:504.247:504.247:5000.0:0,SAT:135.494:135.494:5000.0:0,SAT:7.65084:7.65084:5000.0:0,SAT:107.213:107.213:5000.0:0,SAT:99.1139:99.1139:5000.0:0,SAT:140.149:140.149:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/grid-strips-grid-y-3.045-NOTKNOWN.cnf,SAT:3282.15:3282.15:5000.0:0,SAT:1492.3:1492.3:5000.0:0,SAT:4082.92:4082.92:5000.0:0,SAT:130.921:130.921:5000.0:0,SAT:3154.6:3154.6:5000.0:0,SAT:2076.26:2076.26:5000.0:0,SAT:150.364:150.364:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/grid-strips-grid-y-3.055-NOTKNOWN.cnf,SAT:30.8343:30.8343:5000.0:0,SAT:722.296:722.296:5000.0:0,SAT:1811.69:1811.69:5000.0:0,SAT:38.3692:38.3692:5000.0:0,SAT:2428.54:2428.54:5000.0:0,SAT:534.162:534.162:5000.0:0,SAT:51.4662:51.4662:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/grid-strips-grid-y-3.065-SAT.cnf,SAT:157.401:157.401:5000.0:0,SAT:344.745:344.745:5000.0:0,SAT:956.121:956.121:5000.0:0,SAT:35.4986:35.4986:5000.0:0,SAT:573.989:573.989:5000.0:0,SAT:200.834:200.834:5000.0:0,SAT:118.099:118.099:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/grid-strips-grid-y-4.035-NOTKNOWN.cnf,SAT:19.838:19.838:5000.0:0,SAT:48.9906:48.9906:5000.0:0,SAT:212.989:212.989:5000.0:0,SAT:23.7674:23.7674:5000.0:0,SAT:84.7621:84.7621:5000.0:0,SAT:40.1849:40.1849:5000.0:0,SAT:38.1532:38.1532:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/grid-strips-grid-y-4.045-SAT.cnf,SAT:47.1578:47.1578:5000.0:0,SAT:392.878:392.878:5000.0:0,SAT:85.489:85.489:5000.0:0,SAT:9.15061:9.15061:5000.0:0,SAT:110.124:110.124:5000.0:0,SAT:88.9505:88.9505:5000.0:0,SAT:35.2066:35.2066:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.075-NOTKNOWN.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:340.453:340.453:5000.0:0,SAT:36.9824:36.9824:5000.0:0,SAT:99.3599:99.3599:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:89.2004:89.2004:5000.0:0,SAT:474.881:474.881:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.085-SAT.cnf,SAT:3182.55:3182.55:5000.0:0,SAT:22.7675:22.7675:5000.0:0,SAT:24.9292:24.9292:5000.0:0,SAT:3.13152:3.13152:5000.0:0,SAT:54.4037:54.4037:5000.0:0,SAT:68.0936:68.0936:5000.0:0,SAT:170.303:170.303:5000.0:0
