instance,2011_INDU-LR_GL_SHR,2011_INDU-RestartSAT,2011_INDU-cir_minisat,2011_INDU-contrasat,2011_INDU-ebminisat,2011_INDU-glueminisat,2011_INDU-minisat,2011_INDU-minisat-2.2.0-agile-26,2011_INDU-rcl
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/jarvisalo/eq.atree.braun.10.unsat.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:766.863:766.863:5000.0:0,SAT:517.0:517.0:5000.0:0,SAT:337.863:337.863:5000.0:0,SAT:468.902:468.902:5000.0:0,SAT:155.352:155.352:5000.0:0,SAT:467.896:467.896:5000.0:0,SAT:159.871:159.871:5000.0:0,SAT:564.769:564.769:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/narain/clauses-10.cnf,SAT:41.2767:41.2767:5000.0:0,SAT:38.7471:38.7471:5000.0:0,SAT:39.184:39.184:5000.0:0,SAT:54.6357:54.6357:5000.0:0,SAT:31.8702:31.8702:5000.0:0,SAT:29.4575:29.4575:5000.0:0,SAT:28.5137:28.5137:5000.0:0,SAT:25.4501:25.4501:5000.0:0,SAT:104.98:104.98:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/narain/clauses-4.cnf,SAT:20.2019:20.2019:5000.0:0,SAT:5.8971:5.8971:5000.0:0,SAT:5.42217:5.42217:5000.0:0,SAT:8.64269:8.64269:5000.0:0,SAT:4.94825:4.94825:5000.0:0,SAT:13.279:13.279:5000.0:0,SAT:5.16721:5.16721:5000.0:0,SAT:5.10722:5.10722:5000.0:0,SAT:17.8553:17.8553:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/narain/clauses-6.cnf,SAT:847.836:847.836:5000.0:0,SAT:109.203:109.203:5000.0:0,SAT:28.9496:28.9496:5000.0:0,SAT:81.8486:81.8486:5000.0:0,SAT:30.8503:30.8503:5000.0:0,SAT:179.38:179.38:5000.0:0,SAT:33.5249:33.5249:5000.0:0,SAT:90.6692:90.6692:5000.0:0,SAT:160.067:160.067:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/narain/clauses-8.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:2013.68:2013.68:5000.0:0,SAT:1213.94:1213.94:5000.0:0,SAT:352.496:352.496:5000.0:0,SAT:1359.15:1359.15:5000.0:0,SAT:4308.35:4308.35:5000.0:0,SAT:1595.61:1595.61:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:4235.36:4235.36:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/palacios/hard/safe-50-h50-sat.cnf,SAT:135.424:135.424:5000.0:0,SAT:207.725:207.725:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:176.358:176.358:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:237.545:237.545:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/palacios/hard/sortnet-6-ipc5-h11-unsat.cnf,SAT:3190.54:3190.54:5000.0:0,SAT:567.307:567.307:5000.0:0,SAT:478.564:478.564:5000.0:0,SAT:775.982:775.982:5000.0:0,SAT:543.864:543.864:5000.0:0,SAT:222.607:222.607:5000.0:0,SAT:524.148:524.148:5000.0:0,SAT:460.359:460.359:5000.0:0,SAT:269.481:269.481:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/palacios/medium/blocks-4-ipc5-h22-unknown.cnf,SAT:20.7588:20.7588:5000.0:0,SAT:30.9843:30.9843:5000.0:0,SAT:20.0659:20.0659:5000.0:0,SAT:120.417:120.417:5000.0:0,SAT:20.2519:20.2519:5000.0:0,SAT:18.3122:18.3122:5000.0:0,SAT:19.477:19.477:5000.0:0,SAT:37.1354:37.1354:5000.0:0,SAT:18.8171:18.8171:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/palacios/medium/cube-11-h13-unsat.cnf,SAT:304.158:304.158:5000.0:0,SAT:491.648:491.648:5000.0:0,SAT:2604.95:2604.95:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:2500.38:2500.38:5000.0:0,SAT:236.385:236.385:5000.0:0,SAT:2664.64:2664.64:5000.0:0,SAT:773.045:773.045:5000.0:0,SAT:680.07:680.07:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/palacios/medium/cube-9-h10-unsat.cnf,SAT:56.4904:56.4904:5000.0:0,SAT:33.9898:33.9898:5000.0:0,SAT:52.1121:52.1121:5000.0:0,SAT:53.4389:53.4389:5000.0:0,SAT:49.3865:49.3865:5000.0:0,SAT:20.0819:20.0819:5000.0:0,SAT:54.1788:54.1788:5000.0:0,SAT:30.7583:30.7583:5000.0:0,SAT:41.4377:41.4377:5000.0:0
